C201,25,5,3,3,Optimal,351.85 ,351.86 ,0.00 ,14.24 ,6680,2
C202,25,5,3,3,Feasible,270.53 ,300.20 ,9.88 ,7200.04 ,1463469,0
C203,25,5,3,3,Feasible,234.02 ,303.21 ,22.82 ,7200.05 ,1082593,1
C204,25,5,3,3,Feasible,212.87 ,309.93 ,31.31 ,7200.06 ,1520823,0
C205,25,5,3,3,Optimal,331.17 ,331.19 ,0.00 ,2781.11 ,819407,3
C206,25,5,3,3,Feasible,294.28 ,323.16 ,8.94 ,7200.04 ,2356848,5
C207,25,5,3,3,Feasible,279.76 ,326.41 ,14.29 ,7200.07 ,1791852,0
C208,25,5,3,3,Feasible,250.55 ,298.72 ,16.13 ,7200.10 ,1272963,0
R201,25,5,3,3,Optimal,540.93 ,540.96 ,0.00 ,1171.07 ,204679,559
R202,25,5,3,3,Feasible,434.38 ,462.45 ,6.07 ,7200.07 ,719659,429
R203,25,5,3,3,Feasible,380.36 ,443.54 ,14.24 ,7200.14 ,644770,34
R204,25,5,3,3,Optimal,371.16 ,371.18 ,0.00 ,5074.85 ,387644,1
R205,25,5,3,3,Optimal,429.51 ,429.53 ,0.00 ,4563.28 ,611445,209
R206,25,5,3,3,Feasible,393.01 ,398.26 ,1.32 ,7200.05 ,822613,25
R207,25,5,3,3,Feasible,354.86 ,399.62 ,11.20 ,7200.10 ,865008,122
R208,25,5,3,3,Feasible,341.80 ,365.97 ,6.61 ,7200.09 ,1073521,314
R209,25,5,3,3,Optimal,382.60 ,382.62 ,0.00 ,418.34 ,44750,117
R210,25,5,3,3,Feasible,421.53 ,437.10 ,3.56 ,7200.09 ,629277,9
R211,25,5,3,3,Optimal,346.76 ,346.78 ,0.00 ,6073.95 ,652320,8
RC201,25,5,3,3,Optimal,516.71 ,516.74 ,0.00 ,5150.84 ,1111807,205
RC202,25,5,3,3,Feasible,375.53 ,432.43 ,13.16 ,7200.05 ,732903,5
RC203,25,5,3,3,Feasible,259.29 ,421.61 ,38.50 ,7200.10 ,766257,58
RC204,25,5,3,3,Feasible,255.26 ,388.76 ,34.34 ,7200.14 ,1171705,334
RC205,25,5,3,3,Feasible,398.54 ,439.23 ,9.27 ,7200.05 ,1013405,1610
RC206,25,5,3,3,Feasible,350.66 ,470.70 ,25.50 ,7200.06 ,1141325,168
RC207,25,5,3,3,Feasible,281.52 ,304.27 ,7.48 ,7200.05 ,726284,10
RC208,25,5,3,3,Feasible,232.46 ,269.57 ,13.76 ,7200.09 ,1117147,97
